Date,Open,Close,High,Low,Volume
2019-02-27,152.20,152.78,153.20,152.00,252
2019-02-28,153.00,154.14,155.80,149.00,466
2019-03-01,152.80,152.29,153.60,152.00,333
2019-03-04,152.20,156.41,157.40,151.20,1194
2019-03-05,154.80,154.66,155.81,154.40,305
2019-03-06,155.40,156.36,157.20,154.00,441
2019-03-07,154.20,154.75,155.60,153.40,1018
2019-03-08,152.33,153.33,155.33,151.33,594
2019-03-11,154.02,159.52,160.00,153.60,895
2019-03-12,159.44,160.44,162.44,157.44,1670
2019-03-13,160.80,161.00,162.00,160.00,904
2019-03-14,161.55,163.55,165.55,160.55,1256
2019-03-15,163.20,163.55,163.80,162.60,1230
2019-03-18,164.66,165.66,166.66,163.66,613
2019-03-19,166.00,167.20,169.60,164.60,1069
2019-03-20,163.77,164.77,165.77,159.77,2114
2019-03-21,166.03,171.02,171.60,165.00,907
2019-03-22,171.00,170.67,174.20,170.40,1182
2019-03-25,168.20,169.12,170.40,165.60,999
2019-03-26,169.88,170.88,172.88,164.88,1400
2019-03-27,168.00,167.32,168.60,166.00,1006
2019-03-28,169.60,167.60,169.60,167.20,317
2019-03-29,168.60,168.79,169.40,168.20,525
2019-04-01,172.99,169.99,173.99,167.99,1826
2019-04-02,170.45,171.38,173.00,170.00,792
2019-04-03,173.03,174.05,175.07,172.09,1769
2019-04-04,174.13,175.25,176.48,173.29,1050
2019-04-05,175.01,175.52,176.88,174.09,717
2019-04-08,176.00,177.05,177.57,174.00,937
2019-04-09,177.44,179.03,181.00,177.00,1804
2019-04-10,179.00,177.76,179.23,175.00,1177
2019-04-11,178.12,179.04,179.89,177.30,631
2019-04-12,177.00,175.35,177.68,173.14,1472
2019-04-15,176.15,175.27,176.99,175.06,301
2019-04-16,176.47,177.77,178.59,176.44,538
2019-04-17,177.01,177.36,179.22,175.38,472
2019-04-18,178.37,181.96,182.42,178.01,2121
2019-04-23,181.00,184.00,184.00,181.00,1081
2019-04-24,184.26,186.07,188.12,184.57,1160
2019-04-25,187.56,185.65,187.91,184.40,381
2019-04-26,183.00,183.59,185.00,181.00,1335
2019-04-29,184.07,184.36,185.09,182.23,427
2019-04-30,183.12,178.31,183.97,177.46,3111
2019-05-02,187.00,188.88,190.00,186.00,4597
2019-05-03,188.88,188.99,189.77,188.66,1013
2019-05-06,184.03,186.33,186.33,181.03,3420
2019-05-07,186.09,183.13,186.47,182.22,1890
2019-05-08,181.00,182.07,183.00,177.00,2675
2019-05-09,181.07,175.68,181.47,174.13,3200
2019-05-10,178.01,173.02,179.03,172.04,1490
2019-05-13,175.00,167.46,175.93,165.08,3821
2019-05-14,166.00,169.41,170.07,165.10,1667
2019-05-15,170.47,169.15,170.92,167.68,995
2019-05-16,171.00,172.00,174.00,168.00,863
2019-05-17,170.23,170.45,170.89,167.31,1386
2019-05-20,171.81,164.49,172.37,162.09,2079
2019-05-21,166.07,168.15,168.76,164.31,1621
2019-05-22,167.00,165.52,167.95,164.22,1085
2019-05-23,162.11,161.22,162.33,160.44,2555
2019-05-24,161.22,161.56,163.79,161.04,1142
2019-05-27,161.00,160.41,161.89,158.16,799
2019-05-28,160.38,160.83,161.79,159.21,1351
2019-05-29,160.20,159.07,160.64,157.53,884
2019-05-30,160.05,160.18,161.37,160.05,972
2019-05-31,157.58,159.42,160.04,156.27,846
2019-06-03,158.00,158.01,159.02,155.03,1206
2019-06-04,158.04,160.05,160.06,154.07,2222
2019-06-05,161.08,162.09,164.10,160.11,1341
2019-06-06,163.12,162.13,164.14,161.15,900
2019-06-07,164.16,168.17,169.18,163.19,1838
2019-06-10,169.20,172.21,173.22,168.23,804
2019-06-11,172.24,172.25,173.26,171.27,1426
2019-06-12,170.28,173.29,173.30,169.31,967
2019-06-13,172.32,173.33,174.34,171.35,1193
2019-06-14,172.36,171.37,172.38,169.39,1257
2019-06-17,172.40,173.41,173.42,171.43,1216
2019-06-18,172.44,177.45,179.46,171.47,1401
2019-06-19,177.48,177.49,178.50,176.51,1725
2019-06-20,177.52,176.53,178.54,175.55,951
2019-06-21,176.56,177.57,177.58,175.59,732
2019-06-24,175.60,175.61,175.62,174.63,478
2019-06-25,173.64,174.65,175.66,172.67,999
2019-06-26,173.68,176.69,177.70,172.71,1888
2019-06-27,177.72,176.73,178.74,175.75,1111
2019-06-28,174.76,174.77,176.78,173.79,777
2019-07-01,176.80,178.81,180.82,175.83,1444
2019-07-02,178.84,179.85,179.86,177.87,247
2019-07-03,180.88,180.89,180.90,179.91,492
2019-07-04,180.92,181.93,181.94,179.95,455
2019-07-05,180.96,181.97,182.98,179.99,687
2019-07-08,180.50,177.49,180.50,176.92,829
2019-07-09,176.30,178.37,179.17,176.24,331
2019-07-10,179.36,180.68,181.66,178.38,497
2019-07-11,181.12,182.20,182.20,180.32,522
2019-07-12,180.69,181.69,181.96,179.24,397
2019-07-15,181.02,182.34,182.88,180.18,285
2019-07-16,181.99,182.81,183.47,181.88,566
2019-07-17,182.80,182.24,182.96,181.88,354
2019-07-18,181.52,181.95,183.00,180.72,372
2019-07-19,182.90,182.55,183.96,182.44,204
2019-07-22,184.38,182.73,185.38,181.16,179
2019-07-23,185.06,186.52,187.33,184.10,831
2019-07-24,186.50,186.26,187.56,184.40,705
2019-07-25,188.02,186.77,189.37,186.00,817
2019-07-26,186.04,187.38,187.83,186.02,365
2019-07-29,183.23,187.17,188.38,182.30,274
